trcode,block,no,field,type,size,extra,descriptions
BMT,OutBlock,68,msvol10,long,8,,거래량순매수10
BMT,OutBlock,69,msvalue10,long,6,,매수거래대금10
BMT,OutBlock,70,mdvalue10,long,6,,매도거래대금10
BMT,OutBlock,71,msval10,long,6,,거래대금순매수10
BMT,OutBlock,72,tjjcode11,char,4,,투자자코드11(기타)
BMT,OutBlock,73,msvolume11,long,8,,매수거래량11
BMT,OutBlock,74,mdvolume11,long,8,,매도거래량11
BMT,OutBlock,75,msvol11,long,8,,거래량순매수11
BMT,OutBlock,76,msvalue11,long,6,,매수거래대금11
BMT,OutBlock,77,mdvalue11,long,6,,매도거래대금11
BMT,OutBlock,78,msval11,long,6,,거래대금순매수11
BMT,OutBlock,79,upcode,char,3,,업종코드
BMT,OutBlock,80,tjjcode0,char,4,,투자자코드0(사모펀드)
BMT,OutBlock,81,msvolume0,long,8,,매수거래량0
BMT,OutBlock,82,mdvolume0,long,8,,매도거래량0
BMT,OutBlock,83,msvol0,long,8,,거래량순매수0
BMT,OutBlock,84,msvalue0,long,6,,매수거래대금0
BMT,OutBlock,85,mdvalue0,long,6,,매도거래대금0
BMT,OutBlock,86,msval0,long,6,,거래대금순매수0
JIF,InBlock,1,jangubun,char,1,,장구분
JIF,OutBlock,1,jangubun,char,1,,장구분
JIF,OutBlock,2,jstatus,char,2,,장상태
